,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000001.SH,20200123,2976.5281,3037.9524,3045.0406,2955.346,3060.7545,-84.2264,-2.7518,272763234.0,327490360.4
1,000001.SH,20200122,3060.7545,3038.4868,3069.2527,3006.2677,3052.1419,8.6126,0.2822,223852865.0,278456924.0
2,000001.SH,20200121,3052.1419,3085.7895,3085.7895,3051.2301,3095.7873,-43.6454,-1.4098,234830739.0,286268098.2
3,000001.SH,20200120,3095.7873,3082.1134,3096.3105,3070.4801,3075.4955,20.2918,0.6598,210493341.0,271122455.4
4,000001.SH,20200117,3075.4955,3081.4641,3091.9516,3067.2525,3074.0814,1.4141,0.046,190304299.0,242273045.3
5,000001.SH,20200116,3074.0814,3095.7342,3096.3717,3070.884,3090.0379,-15.9565,-0.5164,203375475.0,236843360.1
6,000001.SH,20200115,3090.0379,3103.1749,3107.9426,3082.0425,3106.8204,-16.7825,-0.5402,202313023.0,232913446.7
7,000001.SH,20200114,3106.8204,3120.6669,3127.1692,3105.6049,3115.5696,-8.7492,-0.2808,229973769.0,271542441.4
8,000001.SH,20200113,3115.5696,3091.493,3115.5696,3075.3837,3092.2907,23.2789,0.7528,210621004.0,258524058.0
9,000001.SH,20200110,3092.2907,3102.2938,3105.2248,3081.3961,3094.8819,-2.5912,-0.0837,210442462.0,241555668.1
10,000001.SH,20200109,3094.8819,3082.6398,3097.3291,3080.1313,3066.8925,27.9894,0.9126,243435649.0,271716020.9
11,000001.SH,20200108,3066.8925,3094.2389,3094.2389,3059.1313,3104.8015,-37.909,-1.221,297872553.0,306517394.5
12,000001.SH,20200107,3104.8015,3085.4882,3105.4507,3084.329,3083.4083,21.3932,0.6938,276583111.0,288159227.7
13,000001.SH,20200106,3083.4083,3070.9088,3107.2032,3065.3088,3083.7858,-0.3775,-0.0122,312575842.0,331182549.9
14,000001.SH,20200103,3083.7858,3089.022,3093.8192,3074.5178,3085.1976,-1.4118,-0.0458,261496667.0,289991708.4
15,000001.SH,20200102,3085.1976,3066.3357,3098.1001,3066.3357,3050.124,35.0736,1.1499,292470208.0,327197122.6
16,000001.SH,20191231,3050.124,3036.3858,3051.677,3030.5122,3040.0239,10.1001,0.3322,217429022.0,226763991.3
17,000001.SH,20191230,3040.0239,2998.1689,3041.3969,2983.3436,3005.0355,34.9884,1.1643,248066530.0,267382994.4
18,000001.SH,20191227,3005.0355,3006.8517,3036.1127,3003.6309,3007.3546,-2.3191,-0.0771,247102779.0,258118739.4
19,000001.SH,20191226,3007.3546,2981.2485,3007.3546,2980.3966,2981.8805,25.4741,0.8543,182440426.0,195586079.1
20,000001.SH,20191225,2981.8805,2980.4276,2988.2924,2970.6572,2982.6806,-0.8001,-0.0268,175654028.0,189608562.7
21,000001.SH,20191224,2982.6806,2965.8258,2983.8194,2960.6839,2962.7513,19.9293,0.6727,163030250.0,167366667.3
22,000001.SH,20191223,2962.7513,2999.0357,3009.338,2960.435,3004.9376,-42.1863,-1.4039,205716617.0,218484273.1
23,000001.SH,20191220,3004.9376,3019.6395,3027.4835,3002.2601,3017.0658,-12.1282,-0.402,215075755.0,223305036.0
24,000001.SH,20191219,3017.0658,3017.153,3021.4176,3007.992,3017.0444,0.0214,0.0007,208624264.0,220688292.4
25,000001.SH,20191218,3017.0444,3021.4657,3033.2337,3011.7207,3022.4219,-5.3775,-0.1779,244089691.0,259173631.8
26,000001.SH,20191217,3022.4219,2985.2619,3039.3834,2982.4956,2984.3925,38.0294,1.2743,293032254.0,302090897.5
27,000001.SH,20191216,2984.3925,2970.9694,2984.6414,2958.7064,2967.6764,16.7161,0.5633,211862119.0,237666763.2
28,000001.SH,20191213,2967.6764,2937.7763,2969.9809,2935.849,2915.6983,51.9781,1.7827,211978585.0,234036541.4
29,000001.SH,20191212,2915.9323,2926.3416,2926.3416,2913.4755,2924.4173,-8.485,-0.2901,151534230.0,165845540.1
30,000001.SH,20191211,2924.4173,2922.602,2928.2564,2915.0008,2917.3157,7.1016,0.2434,165541087.0,175716091.7
31,000001.SH,20191210,2917.3157,2908.9439,2919.2011,2902.7896,2914.4775,2.8382,0.0974,170123998.0,180617291.5
32,000001.SH,20191209,2914.4775,2914.4576,2919.5888,2905.2503,2912.0136,2.4639,0.0846,160796527.0,174546478.2
33,000001.SH,20191206,2912.0136,2902.278,2912.0136,2894.7513,2899.4685,12.5451,0.4327,134128878.0,149507333.3
34,000001.SH,20191205,2899.4685,2886.5164,2902.002,2885.0798,2878.1157,21.3528,0.7419,143163096.0,159736592.3
35,000001.SH,20191204,2878.1157,2876.9079,2882.4981,2869.4219,2884.6988,-6.5831,-0.2282,125543653.0,135879221.5
36,000001.SH,20191203,2884.6988,2869.8822,2884.8559,2857.3204,2875.8072,8.8916,0.3092,123778742.0,135278611.9
37,000001.SH,20191202,2875.8072,2874.4484,2888.8897,2870.2424,2871.9813,3.8259,0.1332,128755806.0,139351761.5
38,000001.SH,20191129,2871.9813,2885.9744,2892.3882,2858.5808,2889.6934,-17.7121,-0.6129,122612968.0,140371316.4
39,000001.SH,20191128,2889.6934,2902.3644,2909.8398,2883.4339,2903.1947,-13.5013,-0.465,119522468.0,122616545.2
40,000001.SH,20191127,2903.1947,2905.3959,2914.4865,2893.4175,2907.0602,-3.8655,-0.133,133862205.0,137449697.2
41,000001.SH,20191126,2907.0602,2912.5209,2915.0411,2897.9276,2906.1688,0.8914,0.0307,170004663.0,165496766.2
42,000001.SH,20191125,2906.1688,2885.6133,2906.6091,2880.6542,2885.2884,20.8804,0.7237,178587429.0,174234583.3
43,000001.SH,20191122,2885.2884,2906.2433,2925.0178,2873.99,2903.6379,-18.3495,-0.6319,158623365.0,180593829.2
44,000001.SH,20191121,2903.6379,2902.5529,2910.3608,2891.5314,2911.0534,-7.4155,-0.2547,123458607.0,139851207.9
45,000001.SH,20191120,2911.0534,2928.1068,2930.4929,2907.4229,2933.9908,-22.9374,-0.7818,137357530.0,158543195.6
46,000001.SH,20191119,2933.9908,2904.2783,2933.9908,2902.855,2909.2002,24.7906,0.8521,135417604.0,155770741.3
47,000001.SH,20191118,2909.2002,2889.5495,2911.3784,2884.0883,2891.3431,17.8571,0.6176,124433177.0,144677413.7
48,000001.SH,20191115,2891.3431,2911.35,2917.8293,2891.2043,2909.8697,-18.5266,-0.6367,135519463.0,152576392.7
49,000001.SH,20191114,2909.8697,2907.7358,2917.374,2899.6186,2905.2409,4.6288,0.1593,129145448.0,151576183.4
50,000001.SH,20191113,2905.2409,2913.0197,2913.8612,2893.9712,2914.8232,-9.5823,-0.3287,129765841.0,146943636.7
51,000001.SH,20191112,2914.8232,2912.9956,2918.303,2891.5105,2909.9746,4.8486,0.1666,129729154.0,139060726.2
52,000001.SH,20191111,2909.9746,2949.9619,2949.9619,2906.769,2964.1849,-54.2103,-1.8288,157916105.0,166285140.3
53,000001.SH,20191108,2964.1849,2993.9773,2998.7594,2962.8447,2978.7144,-14.5295,-0.4878,149742107.0,173867227.2
54,000001.SH,20191107,2978.7144,2978.1531,2988.955,2969.1201,2978.5955,0.1189,0.004,136952678.0,155834877.7
55,000001.SH,20191106,2978.5955,2992.0399,2995.5629,2969.7242,2991.5622,-12.9667,-0.4334,165263547.0,183985236.2
56,000001.SH,20191105,2991.5622,2977.7048,3008.3144,2968.0324,2975.4919,16.0703,0.5401,179891593.0,203691630.2
57,000001.SH,20191104,2975.4919,2964.576,2983.0581,2964.576,2958.1992,17.2927,0.5846,167248364.0,188710094.7
58,000001.SH,20191101,2958.1992,2924.3402,2959.833,2917.1455,2929.0561,29.1431,0.995,159907373.0,175630839.1
59,000001.SH,20191031,2929.0561,2944.8427,2946.7523,2923.5167,2939.3209,-10.2648,-0.3492,161571483.0,181801937.4
